NTP Provinsi Jambi
101.45
101.77
100.99
101.02
99.38
98.75
99
100.28
99.89
101.41
102.73
102.64
96.21
96.58
96.93
98.62
99.57
99.18
98.15
97.9
99.3
99.7
99.84
101.09
95.65
96.38
95.81
94.72
94.83
96.09
96
94.55
94.83
95.48
95.15
95.72
97.96
98.29
98.17
97.91
97.07
97.29
98.24
97.12
96.21
95.53
95.68
95.06
90.68
90.77
90.5
89.74
89.81
89.63
