KABKOT,RLS_2017
KOTA YOGYAKARTA,11.43
PACITAN,7.02
PONOROGO,7.01
TRENGGALEK,7.2
TULUNGAGUNG,7.82
BLITAR,7.26
KEDIRI,7.65
MALANG,7.17
LUMAJANG,6.2
JEMBER,6.06
BANYUWANGI,7.11
BONDOWOSO,5.55
SITUBONDO,6.03
PROBOLINGGO,5.68
PASURUAN,6.82
SIDOARJO,10.23
MOJOKERTO,8.15
JOMBANG,8.06
NGANJUK,7.38
MADIUN,7.3
MAGETAN,7.94
NGAWI,6.66
BOJONEGORO,6.71
TUBAN,6.48
LAMONGAN,7.54
GRESIK,8.95
BANGKALAN,5.14
SAMPANG,4.12
PAMEKASAN,6.25
SUMENEP,5.22
KOTA KEDIRI,9.9
KOTA BLITAR,9.89
KOTA MALANG,10.15
KOTA PROBOLINGGO,8.48
KOTA PASURUAN,9.09
KOTA MOJOKERTO,9.98
KOTA MADIUN,11.1
KOTA SURABAYA,10.45
KOTA BATU,8.46
PANDEGLANG,6.63
LEBAK,6.2
TANGERANG,8.24
SERANG,7.17
KOTA TANGERANG,10.29
KOTA CILEGON,9.69
KOTA SERANG,8.61
KOTA TANGERANG SELATAN,11.77
JEMBRANA,7.62
TABANAN,8.43
BADUNG,9.99
GIANYAR,8.87
KLUNGKUNG,7.46
BANGLI,6.8
KARANG ASEM,5.52
BULELENG,7.03
KOTA DENPASAR,11.15
LOMBOK BARAT,6.15
LOMBOK TENGAH,5.95
LOMBOK TIMUR,6.32
SUMBAWA,7.54
DOMPU,8.11
BIMA,7.58
SUMBAWA BARAT,8.18
LOMBOK UTARA,5.54
KOTA MATARAM,9.32
KOTA BIMA,10.14
SUMBA BARAT,6.51
SUMBA TIMUR,6.73
KUPANG,7.1
TIMOR TENGAH SELATAN,6.39
TIMOR TENGAH UTARA,7.14
BELU,7.07
ALOR,7.77
LEMBATA,7.58
FLORES TIMUR,7.12
SIKKA,6.56
ENDE,7.63
NGADA,7.85
MANGGARAI,6.98
ROTE NDAO,6.98
MANGGARAI BARAT,7.14
SUMBA TENGAH,5.51
SUMBA BARAT DAYA,6.31
NAGEKEO,7.52
MANGGARAI TIMUR,6.45
SABU RAIJUA,6.02
MALAKA,6.32
KOTA KUPANG,11.45
SAMBAS,6.67
BENGKAYANG,6.09
LANDAK,7.08
PONTIANAK,6.47
SANGGAU,6.93
KETAPANG,7.03
SINTANG,6.72
KAPUAS HULU,7.02
SEKADAU,6.57
MELAWI,6.53
KAYONG UTARA,5.85
KUBU RAYA,6.58
KOTA PONTIANAK,9.79
KOTA SINGKAWANG,7.3
KOTAWARINGIN BARAT,8.35
KOTAWARINGIN TIMUR,7.89
KAPUAS,7.5
BARITO SELATAN,8.67
BARITO UTARA,8.35
SUKAMARA,7.83
LAMANDAU,7.94
SERUYAN,7.75
KATINGAN,8.64
PULANG PISAU,7.67
GUNUNG MAS,8.96
BARITO TIMUR,9.04
MURUNG RAYA,7.38
KOTA PALANGKA RAYA,11.03
TANAH LAUT,7.37
KOTA BARU,7.18
BANJAR,7.28
BARITO KUALA,7.08
TAPIN,7.53
HULU SUNGAI SELATAN,7.71
HULU SUNGAI TENGAH,7.79
HULU SUNGAI UTARA,7.19
TABALONG,8.56
TANAH BUMBU,7.67
BALANGAN,7.03
KOTA BANJARMASIN,9.92
KOTA BANJAR BARU,10.77
PASIR,8.2
KUTAI BARAT,8.06
KUTAI KARTANEGARA,8.83
KUTAI TIMUR,9.06
BERAU,8.96
MALINAU,-
BULUNGAN,-
NUNUKAN,-
